resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
1080p,1920,1080,128,128,11,64,4096,50.0,ws,run_0165dd685c82,3057f405329a,0165dd685c82,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16819.0,7357.0,0.0,252285.0,0.0,1935360,1182990.0,7106040.0,0.4281636536631779,0.439453125,0.4244710955396847,0.07036875,387072.0,5914950.0,710604000.0,716906022.0,0.716906022
720p,1280,720,128,128,7,32,1024,50.0,os,run_01b0e942bd61,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,40444.0,35519.0,0.0,404440.0,0.0,5017600,5481600.0,11920900.0,1.3795433429995214,3.125,1.3795045045045031,0.0603,1003520.0,27408000.0,1192090000.0,1220501520.0,1.22050152
720p,1280,720,128,128,7,32,1024,50.0,os,run_01b0e942bd61,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,24972.0,22719.0,0.0,249720.0,0.0,1843200,1388800.0,1129800.0,0.7922883929750429,6.25,0.7922535211267554,0.0603,368640.0,6944000.0,112980000.0,120292640.0,0.12029264
1080p,1920,1080,128,128,7,16,1024,800.0,os,run_022de474811a,e1058136518f,022de474811a,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,35695.0,35391.0,0.0,535425.0,0.0,5268480,5920320.0,7223520.0,3.8766918143030713,6.25,3.876582278481034,0.5427000000000001,1053696.0,29601600.0,722352000.0,753007296.0,0.753007296
1080p,1920,1080,128,128,7,16,1024,800.0,os,run_022de474811a,e1058136518f,022de474811a,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17569.0,17471.0,0.0,263535.0,0.0,1935360,1518720.0,1199040.0,2.884780493389045,12.5,2.884615384615372,0.5427000000000001,387072.0,7593600.0,119904000.0,127884672.0,0.127884672
1080p,1920,1080,128,128,3,8,256,50.0,ws,run_023602af47cb,64c7e659e0f4,023602af47cb,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,15843.0,14379.0,0.0,237645.0,0.0,967680,1182855.0,1983540.0,7.01022324222825,7.03125,7.002917882451021,0.8748,193536.0,5914275.0,198354000.0,204461811.0,0.204461811
1080p,1920,1080,128,128,3,8,256,50.0,ws,run_023602af47cb,64c7e659e0f4,023602af47cb,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16130.0,14379.0,0.0,241950.0,0.0,1935360,1398030.0,2198580.0,14.0204464844565,14.0625,14.005835764902042,0.8748,387072.0,6990150.0,219858000.0,227235222.0,0.227235222
1080p,1920,1080,128,128,7,16,1024,800.0,ws,run_02d4589e849d,40ca93a9c822,02d4589e849d,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,29186.0,28855.0,0.0,437790.0,0.0,5268480,5699295.0,7546080.0,4.754808525385548,4.78515625,4.744777977590261,0.5427000000000001,1053696.0,28496475.0,754608000.0,784158171.0,0.784158171
1080p,1920,1080,128,128,7,16,1024,800.0,ws,run_02d4589e849d,40ca93a9c822,02d4589e849d,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7374.0,7213.0,0.0,110610.0,0.0,1935360,1182990.0,1955040.0,6.987383890198253,7.03125,6.971918660948956,0.5427000000000001,387072.0,5914950.0,195504000.0,201806022.0,0.201806022
1080p,1920,1080,128,128,7,32,1024,200.0,os,run_0385df4df315,3055cf527996,0385df4df315,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,26079.0,24863.0,0.0,391185.0,0.0,5268480,5755680.0,7217520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,1053696.0,28778400.0,721752000.0,751584096.0,0.751584096
1080p,1920,1080,128,128,7,32,1024,200.0,os,run_0385df4df315,3055cf527996,0385df4df315,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,1190040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,387072.0,7291200.0,119004000.0,126682272.0,0.126682272
720p,1280,720,128,128,7,64,4096,50.0,os,run_03acdc55e091,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,38239.0,27999.0,0.0,382390.0,0.0,5017600,5403200.0,5151900.0,0.4375156255580556,1.5625,0.437500000000001,0.018432,1003520.0,27016000.0,515190000.0,543209520.0,0.54320952
720p,1280,720,128,128,7,64,4096,50.0,os,run_03acdc55e091,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,23852.0,21599.0,0.0,238520.0,0.0,1843200,1360000.0,1132800.0,0.208342978841613,3.125,0.2083333333333329,0.018432,368640.0,6800000.0,113280000.0,120448640.0,0.12044864
720p,1280,720,128,128,11,32,256,200.0,os,run_03b20345b039,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,58905.0,58559.0,0.0,589050.0,0.0,12390400,13084800.0,87462400.0,2.0662921156440515,3.125,2.0662568306010884,0.12510000000000002,2478080.0,65424000.0,8746240000.0,8814142080.0,8.81414208
720p,1280,720,128,128,11,32,256,200.0,os,run_03b20345b039,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,23116.0,22719.0,0.0,231160.0,0.0,1843200,1388800.0,1388800.0,0.7922883929750429,6.25,0.7922535211267554,0.12510000000000002,368640.0,6944000.0,138880000.0,146192640.0,0.14619264
1080p,1920,1080,128,128,3,16,256,800.0,os,run_03d64de4c1ee,fbfa63750d42,03d64de4c1ee,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,17553.0,17471.0,0.0,263295.0,0.0,967680,1350720.0,1895520.0,1.4423902466945224,6.25,1.442307692307686,0.2187,193536.0,6753600.0,189552000.0,196499136.0,0.196499136
1080p,1920,1080,128,128,3,16,256,800.0,os,run_03d64de4c1ee,fbfa63750d42,03d64de4c1ee,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17562.0,17471.0,0.0,263430.0,0.0,1935360,1518720.0,2003040.0,2.884780493389045,12.5,2.884615384615372,0.2187,387072.0,7593600.0,200304000.0,208284672.0,0.208284672
720p,1280,720,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,35773.0,16573.0,0.0,1788650.0,0.0,20480000,21300450.0,48081700.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.018432,4096000.0,106502250.0,4808170000.0,4918768250.0,4.91876825
720p,1280,720,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36101.0,16573.0,0.0,1805050.0,0.0,14745600,9012100.0,48850900.0,0.4344415615760574,0.439453125,0.4327703311895173,0.018432,2949120.0,45060500.0,4885090000.0,4933099620.0,4.93309962
