resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
hires,2048,2048,128,128,11,32,256,800.0,ws,run_87f3d6fb3481,07e2d51767cf,68827173e692,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,65993.0,65911.0,0.0,16894208.0,0.0,507510784,524318976.0,533078016.0,2.937294230098163,2.9541015625,2.9317342055848323,0.569344,101502156.80000001,2621594880.0,53307801600.0,56030898636.8,56.0308986368
hires,2048,2048,128,128,11,32,256,800.0,ws,run_87f3d6fb3481,07e2d51767cf,68827173e692,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16591.0,16477.0,0.0,4247296.0,0.0,75497472,46141952.0,54059008.0,1.7478909995751657,1.7578125,1.7445029983645284,0.569344,15099494.4,230709760.0,5405900800.0,5651710054.4,5.6517100544
720p,1280,720,128,128,5,64,4096,50.0,os,run_884b2860640b,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,29483.0,24159.0,0.0,294830.0,0.0,2560000,2907200.0,2678400.0,0.2587027608758641,1.5625,0.2586920529801319,0.018432,512000.0,14536000.0,267840000.0,282888000.0,0.282888
720p,1280,720,128,128,5,64,4096,50.0,os,run_884b2860640b,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,23852.0,21599.0,0.0,238520.0,0.0,1843200,1360000.0,1132800.0,0.208342978841613,3.125,0.2083333333333329,0.018432,368640.0,6800000.0,113280000.0,120448640.0,0.12044864
720p,1280,720,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,268524.0,262495.0,0.0,13426200.0,0.0,99123200,112236450.0,154727200.0,11.800605725823347,11.81640625,11.79552793517334,2.0016000000000003,19824640.0,561182250.0,15472720000.0,16053726890.0,16.05372689
720p,1280,720,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34449.0,32811.0,0.0,1722450.0,0.0,14745600,10650500.0,16396800.0,14.044070586083937,14.0625,14.037653079875708,2.0016000000000003,2949120.0,53252500.0,1639680000.0,1695881620.0,1.69588162
1080p,1920,1080,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,67d7c64a2d5f,a4bbc1cc8049,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,268524.0,262495.0,0.0,32222880.0,0.0,237895680,269367480.0,371345280.0,11.800605725823347,11.81640625,11.79552793517334,4.5036,47579136.0,1346837400.0,37134528000.0,38528944536.0,38.528944536
1080p,1920,1080,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,67d7c64a2d5f,a4bbc1cc8049,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34449.0,32811.0,0.0,4133880.0,0.0,35389440,25561200.0,39352320.0,14.044070586083937,14.0625,14.037653079875708,4.5036,7077888.0,127806000.0,3935232000.0,4070115888.0,4.070115888
hires,2048,2048,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,5a4c78d304ba,a4bbc1cc8049,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,268524.0,262495.0,0.0,68742144.0,0.0,507510784,574650624.0,792203264.0,11.800605725823347,11.81640625,11.79552793517334,9.109504,101502156.80000001,2873253120.0,79220326400.0,82195081676.8,82.1950816768
hires,2048,2048,128,128,11,8,4096,200.0,ws,run_88b41d0f2ade,5a4c78d304ba,a4bbc1cc8049,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34449.0,32811.0,0.0,8818944.0,0.0,75497472,54530560.0,83951616.0,14.044070586083937,14.0625,14.037653079875708,9.109504,15099494.4,272652800.0,8395161600.0,8682913894.4,8.6829138944
720p,1280,720,128,128,7,32,4096,200.0,os,run_88bd2a403a64,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,60927.0,56831.0,0.0,3046350.0,0.0,40140800,43852800.0,41049200.0,1.3795287783076138,3.125,1.3795045045045031,0.0603,8028160.0,219264000.0,4104920000.0,4332212160.0,4.33221216
720p,1280,720,128,128,7,32,4096,200.0,os,run_88bd2a403a64,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,1862600.0,0.0,14745600,11110400.0,9038400.0,0.7922753156721961,6.25,0.7922535211267545,0.0603,2949120.0,55552000.0,903840000.0,962341120.0,0.96234112
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_88bd2a403a64,f0fcb7773236,6125be0fdd96,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,60927.0,56831.0,0.0,7311240.0,0.0,96337920,105246720.0,98518080.0,1.3795287783076138,3.125,1.3795045045045031,0.13567500000000002,19267584.0,526233600.0,9851808000.0,10397309184.0,10.397309184
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_88bd2a403a64,f0fcb7773236,6125be0fdd96,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,4470240.0,0.0,35389440,26664960.0,21692160.0,0.7922753156721961,6.25,0.7922535211267545,0.13567500000000002,7077888.0,133324800.0,2169216000.0,2309618688.0,2.309618688
hires,2048,2048,128,128,7,32,4096,200.0,os,run_88bd2a403a64,992badd1fec1,6125be0fdd96,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,60927.0,56831.0,0.0,15597312.0,0.0,205520896,224526336.0,210171904.0,1.3795287783076138,3.125,1.3795045045045031,0.274432,41104179.2,1122631680.0,21017190400.0,22180926259.2,22.1809262592
hires,2048,2048,128,128,7,32,4096,200.0,os,run_88bd2a403a64,992badd1fec1,6125be0fdd96,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,9536512.0,0.0,75497472,56885248.0,46276608.0,0.7922753156721961,6.25,0.7922535211267545,0.274432,15099494.4,284426240.0,4627660800.0,4927186534.4,4.9271865344
1080p,1920,1080,128,128,11,16,4096,200.0,os,run_8911fda13225,e36dcc1d07f0,8911fda13225,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,72019.0,67647.0,0.0,1080285.0,0.0,13009920,14145600.0,13148520.0,5.00835218117581,6.25,5.0082781456953915,1.1259,2601984.0,70728000.0,1314852000.0,1388181984.0,1.388181984
1080p,1920,1080,128,128,11,16,4096,200.0,os,run_8911fda13225,e36dcc1d07f0,8911fda13225,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17865.0,17471.0,0.0,267975.0,0.0,1935360,1518720.0,1187040.0,2.884780493389045,12.5,2.884615384615372,1.1259,387072.0,7593600.0,118704000.0,126684672.0,0.126684672
720p,1280,720,128,128,5,8,1024,800.0,ws,run_893973aff1d3,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,41394.0,41047.0,0.0,413940.0,0.0,2560000,2969850.0,5153600.0,9.744926547616148,9.765625,9.7380465478625,0.6192,512000.0,14849250.0,515360000.0,530721250.0,0.53072125
720p,1280,720,128,128,5,8,1024,800.0,ws,run_893973aff1d3,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,20779.0,20523.0,0.0,207790.0,0.0,1843200,1331380.0,2057600.0,14.033036105832482,14.0625,14.022787028921998,0.6192,368640.0,6656900.0,205760000.0,212785540.0,0.21278554
720p,1280,720,128,128,7,128,256,800.0,ws,run_893c21320b75,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16859.0,16765.0,0.0,842950.0,0.0,40140800,40962450.0,42579200.0,0.2922755741127348,0.299072265625,0.2900609720002368,0.00376875,8028160.0,204812250.0,4257920000.0,4470760410.0,4.47076041
720p,1280,720,128,128,7,128,256,800.0,ws,run_893c21320b75,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,843950.0,0.0,14745600,9012100.0,10598400.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.00376875,2949120.0,45060500.0,1059840000.0,1107849620.0,1.10784962
1080p,1920,1080,128,128,7,128,256,800.0,ws,run_893c21320b75,76fa8414023d,efaa94f8969d,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16859.0,16765.0,0.0,2023080.0,0.0,96337920,98309880.0,102190080.0,0.2922755741127348,0.299072265625,0.2900609720002368,0.008479687500000001,19267584.0,491549400.0,10219008000.0,10729824984.0,10.729824984
1080p,1920,1080,128,128,7,128,256,800.0,ws,run_893c21320b75,76fa8414023d,efaa94f8969d,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,2025480.0,0.0,35389440,21629040.0,25436160.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.008479687500000001,7077888.0,108145200.0,2543616000.0,2658839088.0,2.658839088
hires,2048,2048,128,128,7,128,256,800.0,ws,run_893c21320b75,be5dbbb8b2fe,efaa94f8969d,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16859.0,16765.0,0.0,4315904.0,0.0,205520896,209727744.0,218005504.0,0.2922755741127348,0.299072265625,0.2900609720002368,0.017152,41104179.2,1048638720.0,21800550400.0,22890293299.2,22.8902932992
hires,2048,2048,128,128,7,128,256,800.0,ws,run_893c21320b75,be5dbbb8b2fe,efaa94f8969d,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,4321024.0,0.0,75497472,46141952.0,54263808.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.017152,15099494.4,230709760.0,5426380800.0,5672190054.4,5.6721900544
720p,1280,720,128,128,3,8,4096,800.0,os,run_894712e206df,,,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,29567.0,29439.0,0.0,295670.0,0.0,921600,1344000.0,1038400.0,4.891470498318557,12.5,4.8913043478259794,0.38880000000000003,184320.0,6720000.0,103840000.0,110744320.0,0.11074432
720p,1280,720,128,128,3,8,4096,800.0,os,run_894712e206df,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,29580.0,29439.0,0.0,295800.0,0.0,1843200,1561600.0,1140800.0,9.782940996637114,25.0,9.78260869565196,0.38880000000000003,368640.0,7808000.0,114080000.0,122256640.0,0.12225664
720p,1280,720,128,128,3,16,256,800.0,os,run_894a3cb1122d,,,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,25045.0,24959.0,0.0,250450.0,0.0,921600,1286400.0,1294400.0,1.4423654793861933,6.25,1.4423076923076796,0.09720000000000001,184320.0,6432000.0,129440000.0,136056320.0,0.13605632
720p,1280,720,128,128,3,16,256,800.0,os,run_894a3cb1122d,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,25058.0,24959.0,0.0,250580.0,0.0,1843200,1446400.0,1396800.0,2.8847309587723866,12.5,2.8846153846153593,0.09720000000000001,368640.0,7232000.0,139680000.0,147280640.0,0.14728064
720p,1280,720,128,128,7,64,1024,800.0,ws,run_8965194491bf,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16889.0,16573.0,0.0,844450.0,0.0,40140800,40962450.0,48339200.0,1.1826464731792674,1.1962890625,1.178097012682575,0.015075,8028160.0,204812250.0,4833920000.0,5046760410.0,5.04676041
720p,1280,720,128,128,7,64,1024,800.0,ws,run_8965194491bf,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16909.0,16573.0,0.0,845450.0,0.0,14745600,9012100.0,13518400.0,0.4344415615760574,0.439453125,0.4327703311895173,0.015075,2949120.0,45060500.0,1351840000.0,1399849620.0,1.39984962
1080p,1920,1080,128,128,7,64,1024,800.0,ws,run_8965194491bf,7a66db3cbf24,011942d3f2ae,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16889.0,16573.0,0.0,2026680.0,0.0,96337920,98309880.0,116014080.0,1.1826464731792674,1.1962890625,1.178097012682575,0.033918750000000004,19267584.0,491549400.0,11601408000.0,12112224984.0,12.112224984
1080p,1920,1080,128,128,7,64,1024,800.0,ws,run_8965194491bf,7a66db3cbf24,011942d3f2ae,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16909.0,16573.0,0.0,2029080.0,0.0,35389440,21629040.0,32444160.0,0.4344415615760574,0.439453125,0.4327703311895173,0.033918750000000004,7077888.0,108145200.0,3244416000.0,3359639088.0,3.359639088
hires,2048,2048,128,128,7,64,1024,800.0,ws,run_8965194491bf,44aeb4035e35,011942d3f2ae,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16889.0,16573.0,0.0,4323584.0,0.0,205520896,209727744.0,247496704.0,1.1826464731792674,1.1962890625,1.178097012682575,0.068608,41104179.2,1048638720.0,24749670400.0,25839413299.2,25.8394132992
hires,2048,2048,128,128,7,64,1024,800.0,ws,run_8965194491bf,44aeb4035e35,011942d3f2ae,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16909.0,16573.0,0.0,4328704.0,0.0,75497472,46141952.0,69214208.0,0.4344415615760574,0.439453125,0.4327703311895173,0.068608,15099494.4,230709760.0,6921420800.0,7167230054.4,7.1672300544
1080p,1920,1080,128,128,7,16,1024,50.0,os,run_896c1583f254,9d1d15f681b9,896c1583f254,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,40255.0,35391.0,0.0,603825.0,0.0,5268480,5920320.0,7201020.0,3.8766918143030713,6.25,3.876582278481034,0.5427000000000001,1053696.0,29601600.0,720102000.0,750757296.0,0.750757296
1080p,1920,1080,128,128,7,16,1024,50.0,os,run_896c1583f254,9d1d15f681b9,896c1583f254,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,19048.0,17471.0,0.0,285720.0,0.0,1935360,1518720.0,1185540.0,2.884780493389045,12.5,2.884615384615372,0.5427000000000001,387072.0,7593600.0,118554000.0,126534672.0,0.126534672
720p,1280,720,128,128,7,8,1024,800.0,os,run_898bedca36f6,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,80947.0,80639.0,0.0,809470.0,0.0,5017600,5952000.0,7214400.0,9.722342786988929,12.5,9.722222222222497,0.9648,1003520.0,29760000.0,721440000.0,752203520.0,0.75220352
720p,1280,720,128,128,7,8,1024,800.0,os,run_898bedca36f6,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,29580.0,29439.0,0.0,295800.0,0.0,1843200,1561600.0,1140800.0,9.782940996637114,25.0,9.78260869565196,0.9648,368640.0,7808000.0,114080000.0,122256640.0,0.12225664
1080p,1920,1080,128,128,5,8,1024,800.0,os,run_89f096aac414,7933f6bccdf9,89f096aac414,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,35175.0,34943.0,0.0,527625.0,0.0,2688000,3346560.0,2807520.0,8.013049823999085,12.5,8.012820512820449,1.3932,537600.0,16732800.0,280752000.0,298022400.0,0.2980224
1080p,1920,1080,128,128,5,8,1024,800.0,os,run_89f096aac414,7933f6bccdf9,89f096aac414,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,20705.0,20607.0,0.0,310575.0,0.0,1935360,1639680.0,1199040.0,9.783083418255933,25.0,9.782608695652106,1.3932,387072.0,8198400.0,119904000.0,128489472.0,0.128489472
720p,1280,720,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,67172.0,65911.0,0.0,3358600.0,0.0,99123200,102406050.0,145076800.0,2.937294230098163,2.9541015625,2.9317342055848323,0.12510000000000002,19824640.0,512030250.0,14507680000.0,15039534890.0,15.03953489
720p,1280,720,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17173.0,16477.0,0.0,858650.0,0.0,14745600,9012100.0,27918400.0,1.7478909995751657,1.7578125,1.7445029983645284,0.12510000000000002,2949120.0,45060500.0,2791840000.0,2839849620.0,2.83984962
1080p,1920,1080,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,e7ba7509c954,91db88115fc1,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,67172.0,65911.0,0.0,8060640.0,0.0,237895680,245774520.0,348184320.0,2.937294230098163,2.9541015625,2.9317342055848323,0.281475,47579136.0,1228872600.0,34818432000.0,36094883736.0,36.094883736
1080p,1920,1080,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,e7ba7509c954,91db88115fc1,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17173.0,16477.0,0.0,2060760.0,0.0,35389440,21629040.0,67004160.0,1.7478909995751657,1.7578125,1.7445029983645284,0.281475,7077888.0,108145200.0,6700416000.0,6815639088.0,6.815639088
hires,2048,2048,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,97581a00b964,91db88115fc1,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,67172.0,65911.0,0.0,17196032.0,0.0,507510784,524318976.0,742793216.0,2.937294230098163,2.9541015625,2.9317342055848323,0.569344,101502156.80000001,2621594880.0,74279321600.0,77002418636.8,77.0024186368
hires,2048,2048,128,128,11,32,4096,800.0,ws,run_8a19d54eeb31,97581a00b964,91db88115fc1,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17173.0,16477.0,0.0,4396288.0,0.0,75497472,46141952.0,142942208.0,1.7478909995751657,1.7578125,1.7445029983645284,0.569344,15099494.4,230709760.0,14294220800.0,14540030054.4,14.540030054399999
720p,1280,720,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,21373.0,16573.0,0.0,1068650.0,0.0,20480000,21300450.0,48089200.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.009675,4096000.0,106502250.0,4808920000.0,4919518250.0,4.91951825
720p,1280,720,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,21455.0,16573.0,0.0,1072750.0,0.0,14745600,9012100.0,48858400.0,0.4344415615760574,0.439453125,0.4327703311895173,0.009675,2949120.0,45060500.0,4885840000.0,4933849620.0,4.93384962
1080p,1920,1080,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,8778f01a1e8e,0a9cbfc16080,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,21373.0,16573.0,0.0,2564760.0,0.0,49152000,51121080.0,115414080.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.02176875,9830400.0,255605400.0,11541408000.0,11806843800.0,11.8068438
1080p,1920,1080,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,8778f01a1e8e,0a9cbfc16080,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,21455.0,16573.0,0.0,2574600.0,0.0,35389440,21629040.0,117260160.0,0.4344415615760574,0.439453125,0.4327703311895173,0.02176875,7077888.0,108145200.0,11726016000.0,11841239088.0,11.841239088
hires,2048,2048,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,e648d73d6eda,0a9cbfc16080,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,21373.0,16573.0,0.0,5471488.0,0.0,104857600,109058304.0,246216704.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.044032,20971520.0,545291520.0,24621670400.0,25187933440.0,25.18793344
hires,2048,2048,128,128,5,64,4096,200.0,ws,run_8a635e63c4f0,e648d73d6eda,0a9cbfc16080,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,21455.0,16573.0,0.0,5492480.0,0.0,75497472,46141952.0,250155008.0,0.4344415615760574,0.439453125,0.4327703311895173,0.044032,15099494.4,230709760.0,25015500800.0,25261310054.4,25.261310054400003
1080p,1920,1080,128,128,5,128,1024,50.0,ws,run_8a69861bf544,15a02d753e73,8a69861bf544,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,12413.0,7549.0,0.0,186195.0,0.0,2688000,2795895.0,3696270.0,0.1448867399655583,0.152587890625,0.1424710173244757,0.041472,537600.0,13979475.0,369627000.0,384144075.0,0.384144075
1080p,1920,1080,128,128,5,128,1024,50.0,ws,run_8a69861bf544,15a02d753e73,8a69861bf544,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12556.0,7549.0,0.0,188340.0,0.0,1935360,1182990.0,3773790.0,0.104318452775202,0.10986328125,0.1025791324736225,0.041472,387072.0,5914950.0,377379000.0,383681022.0,0.383681022
1080p,1920,1080,128,128,5,8,1024,200.0,ws,run_8a7aafbf7fd5,e78696a67788,8a7aafbf7fd5,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,30049.0,28759.0,0.0,450735.0,0.0,2688000,3118455.0,3874080.0,9.736082617615356,9.765625,9.72627483673753,1.3932,537600.0,15592275.0,387408000.0,403537875.0,0.403537875
1080p,1920,1080,128,128,5,8,1024,200.0,ws,run_8a7aafbf7fd5,e78696a67788,8a7aafbf7fd5,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,15096.0,14379.0,0.0,226440.0,0.0,1935360,1398030.0,2155080.0,14.0204464844565,14.0625,14.005835764902042,1.3932,387072.0,6990150.0,215508000.0,222885222.0,0.222885222
1080p,1920,1080,128,128,3,128,1024,50.0,ws,run_8a80d24648db,6c86d85dbdb0,8a80d24648db,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,12413.0,7549.0,0.0,186195.0,0.0,967680,1075335.0,3666270.0,0.052159226387601,0.054931640625,0.0512895662368112,0.041472,193536.0,5376675.0,366627000.0,372197211.0,0.372197211
1080p,1920,1080,128,128,3,128,1024,50.0,ws,run_8a80d24648db,6c86d85dbdb0,8a80d24648db,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12556.0,7549.0,0.0,188340.0,0.0,1935360,1182990.0,3773790.0,0.104318452775202,0.10986328125,0.1025791324736225,0.041472,387072.0,5914950.0,377379000.0,383681022.0,0.383681022
1080p,1920,1080,128,128,5,16,256,800.0,ws,run_8a8e0d1ef73a,e3474bf87da7,8a8e0d1ef73a,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,14518.0,14427.0,0.0,217770.0,0.0,2688000,2903415.0,3779040.0,4.85201358563804,4.8828125,4.841610181214552,0.3483,537600.0,14517075.0,377904000.0,392958675.0,0.392958675
1080p,1920,1080,128,128,5,16,256,800.0,ws,run_8a8e0d1ef73a,e3474bf87da7,8a8e0d1ef73a,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7304.0,7213.0,0.0,109560.0,0.0,1935360,1182990.0,2003040.0,6.987383890198253,7.03125,6.971918660948956,0.3483,387072.0,5914950.0,200304000.0,206606022.0,0.206606022
720p,1280,720,128,128,11,128,1024,200.0,ws,run_8afb982cdd58,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,11853.0,10621.0,0.0,118530.0,0.0,12390400,12494010.0,14430400.0,0.7120327652763393,0.738525390625,0.7035538189599033,0.007818750000000001,2478080.0,62470050.0,1443040000.0,1507988130.0,1.50798813
720p,1280,720,128,128,11,128,1024,200.0,ws,run_8afb982cdd58,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11904.0,10621.0,0.0,119040.0,0.0,1843200,1126580.0,2578800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.007818750000000001,368640.0,5632900.0,257880000.0,263881540.0,0.26388154
720p,1280,720,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,56851.0,56319.0,0.0,2842550.0,0.0,20480000,24217600.0,21339200.0,2.840959534082637,6.25,2.8409090909090677,0.1548,4096000.0,121088000.0,2133920000.0,2259104000.0,2.259104
720p,1280,720,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,2008000.0,0.0,14745600,11571200.0,9078400.0,2.8846876173782396,12.5,2.884615384615348,0.1548,2949120.0,57856000.0,907840000.0,968645120.0,0.96864512
1080p,1920,1080,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,12e781937f7e,fa63cfe7d9f3,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,56851.0,56319.0,0.0,6822120.0,0.0,49152000,58122240.0,51214080.0,2.840959534082637,6.25,2.8409090909090677,0.3483,9830400.0,290611200.0,5121408000.0,5421849600.0,5.4218496
1080p,1920,1080,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,12e781937f7e,fa63cfe7d9f3,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,4819200.0,0.0,35389440,27770880.0,21788160.0,2.8846876173782396,12.5,2.884615384615348,0.3483,7077888.0,138854400.0,2178816000.0,2324748288.0,2.324748288
hires,2048,2048,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,b1396b6c3965,fa63cfe7d9f3,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,56851.0,56319.0,0.0,14553856.0,0.0,104857600,123994112.0,109256704.0,2.840959534082637,6.25,2.8409090909090677,0.704512,20971520.0,619970560.0,10925670400.0,11566612480.0,11.56661248
hires,2048,2048,128,128,5,16,4096,800.0,os,run_8b38aaa7f447,b1396b6c3965,fa63cfe7d9f3,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,10280960.0,0.0,75497472,59244544.0,46481408.0,2.8846876173782396,12.5,2.884615384615348,0.704512,15099494.4,296222720.0,4648140800.0,4959463014.4,4.9594630144
1080p,1920,1080,128,128,11,32,4096,50.0,os,run_8b5d595325f1,3ff8f460d0eb,8b5d595325f1,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,58481.0,40991.0,0.0,877215.0,0.0,13009920,13739040.0,13176270.0,2.0663072381742333,3.125,2.0662568306010884,0.281475,2601984.0,68695200.0,1317627000.0,1388924184.0,1.388924184
1080p,1920,1080,128,128,11,32,4096,50.0,os,run_8b5d595325f1,3ff8f460d0eb,8b5d595325f1,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17480.0,15903.0,0.0,262200.0,0.0,1935360,1458240.0,1187790.0,0.7923033389926429,6.25,0.7922535211267571,0.281475,387072.0,7291200.0,118779000.0,126457272.0,0.126457272
