resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,16,1024,200.0,os,gaussian,5157915.0,2.21214048,10326210.0,4.65157344,49.949739546261405,47.556821547248326
1080p,1920,1080,128,128,3,16,1024,200.0,os,sobel,5168295.0,2.43943296,10326210.0,4.65157344,50.050260453738595,52.44317845275168
1080p,1920,1080,128,128,3,16,1024,200.0,ws,gaussian,2240250.0,3.3240785550000003,4490880.0,6.869623665000001,49.88443244976486,48.38807359907975
1080p,1920,1080,128,128,3,16,1024,200.0,ws,sobel,2250630.0,3.54554511,4490880.0,6.869623665000001,50.11556755023514,51.61192640092024
1080p,1920,1080,128,128,3,16,1024,800.0,os,gaussian,5080200.0,2.22534048,10162935.0,4.67797344,49.987528209124626,47.57060955010467
1080p,1920,1080,128,128,3,16,1024,800.0,os,sobel,5082735.0,2.45263296,10162935.0,4.67797344,50.01247179087537,52.42939044989533
1080p,1920,1080,128,128,3,16,1024,800.0,ws,gaussian,2119875.0,3.3399785549999996,4242285.0,6.901423664999999,49.97012223365474,48.39550094480397
1080p,1920,1080,128,128,3,16,1024,800.0,ws,sobel,2122410.0,3.56144511,4242285.0,6.901423664999999,50.02987776634525,51.60449905519603
1080p,1920,1080,128,128,3,16,4096,50.0,os,gaussian,5469015.0,2.21019048,10979535.0,4.64767344,49.8109892632065,47.55477140407696
1080p,1920,1080,128,128,3,16,4096,50.0,os,sobel,5510520.0,2.43748296,10979535.0,4.64767344,50.18901073679349,52.44522859592304
1080p,1920,1080,128,128,3,16,4096,50.0,ws,gaussian,2784630.0,3.634653555,5610765.0,7.490773665,49.630130650633205,48.521737774331754
1080p,1920,1080,128,128,3,16,4096,50.0,ws,sobel,2826135.0,3.85612011,5610765.0,7.490773665,50.3698693493668,51.478262225668246
1080p,1920,1080,128,128,3,16,4096,200.0,os,gaussian,5157915.0,2.21214048,10326210.0,4.65157344,49.949739546261405,47.556821547248326
1080p,1920,1080,128,128,3,16,4096,200.0,os,sobel,5168295.0,2.43943296,10326210.0,4.65157344,50.050260453738595,52.44317845275168
1080p,1920,1080,128,128,3,16,4096,200.0,ws,gaussian,2255850.0,3.636078555,4522080.0,7.493623664999999,49.885229805753106,48.52229999196257
1080p,1920,1080,128,128,3,16,4096,200.0,ws,sobel,2266230.0,3.8575451099999998,4522080.0,7.493623664999999,50.114770194246894,51.47770000803743
1080p,1920,1080,128,128,3,16,4096,800.0,os,gaussian,5080200.0,2.22534048,10162935.0,4.67797344,49.987528209124626,47.57060955010467
1080p,1920,1080,128,128,3,16,4096,800.0,os,sobel,5082735.0,2.45263296,10162935.0,4.67797344,50.01247179087537,52.42939044989533
1080p,1920,1080,128,128,3,16,4096,800.0,ws,gaussian,2123715.0,3.647178555,4249965.0,7.515823665,49.970176224980676,48.52666477507093
1080p,1920,1080,128,128,3,16,4096,800.0,ws,sobel,2126250.0,3.86864511,4249965.0,7.515823665,50.029823775019324,51.47333522492907
1080p,1920,1080,128,128,3,32,256,50.0,os,gaussian,4801080.0,9.70757448,9643665.0,19.63952544,49.78480691728715,49.42876297931566
1080p,1920,1080,128,128,3,32,256,50.0,os,sobel,4842585.0,9.93195096,9643665.0,19.63952544,50.21519308271285,50.57123702068434
1080p,1920,1080,128,128,3,32,256,50.0,ws,gaussian,2286570.0,2.615928555,4614645.0,5.453323665,49.550290434042054,47.96943507661763
1080p,1920,1080,128,128,3,32,256,50.0,ws,sobel,2328075.0,2.83739511,4614645.0,5.453323665,50.449709565957946,52.03056492338237
1080p,1920,1080,128,128,3,32,256,200.0,os,gaussian,4650735.0,9.72482448,9311850.0,19.67402544,49.94426456611737,49.42976468978277
1080p,1920,1080,128,128,3,32,256,200.0,os,sobel,4661115.0,9.94920096,9311850.0,19.67402544,50.05573543388263,50.57023531021723
1080p,1920,1080,128,128,3,32,256,200.0,ws,gaussian,2136225.0,2.6211785549999997,4282830.0,5.463823665,49.87881844481336,47.973337276432765
1080p,1920,1080,128,128,3,32,256,200.0,ws,sobel,2146605.0,2.84264511,4282830.0,5.463823665,50.121181555186645,52.02666272356723
1080p,1920,1080,128,128,3,32,256,800.0,os,gaussian,4613175.0,9.762024480000001,9228885.0,19.748425440000002,49.986265946536335,49.431912987995666
1080p,1920,1080,128,128,3,32,256,800.0,os,sobel,4615710.0,9.986400960000001,9228885.0,19.748425440000002,50.013734053463665,50.568087012004334
1080p,1920,1080,128,128,3,32,256,800.0,ws,gaussian,2098665.0,2.634378555,4199865.0,5.490223665,49.96982045851473,47.98308257993347
1080p,1920,1080,128,128,3,32,256,800.0,ws,sobel,2101200.0,2.8558451099999997,4199865.0,5.490223665,50.03017954148527,52.01691742006652
