resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
hires,2048,2048,128,128,11,8,1024,200.0,ws,run_3c0e3b381616,02700854a5a9,1b7e4dd7e370,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34319.0,32811.0,0.0,8785664.0,0.0,75497472,54530560.0,37748736.0,4608.0,16777216.0,77295616.0,60467200.0,51200.0,16777216.0,14.044070586083937,14.0625,14.037653079875708,9.109504,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,83886080.0,272652800.0,9674752000.0,8192000.0,2684354560.0,12367298560.0,12657315778.56,12.65731577856
720p,1280,720,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,115415.0,114841.0,0.0,5770750.0,0.0,40140800,45877650.0,40140800.0,2450.0,5734400.0,47054400.0,41300000.0,20000.0,5734400.0,10.922928222498934,10.9375,10.918174617681109,0.9648,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9232384.0,200704000.0,12250.0,28672000.0,229388250.0,6608000000.0,3200000.0,917504000.0,7528704000.0,7767324634.0,7.767324634
720p,1280,720,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,1656950.0,0.0,14745600,10650500.0,7372800.0,900.0,3276800.0,12136800.0,8850000.0,10000.0,3276800.0,14.044070586083937,14.0625,14.037653079875708,0.9648,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,16384000.0,53252500.0,1416000000.0,1600000.0,524288000.0,1941888000.0,1998531988.0,1.998531988
1080p,1920,1080,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,35ccb6a402c4,8deca67dca2f,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,115415.0,114841.0,0.0,13849800.0,0.0,96337920,110106360.0,96337920.0,5880.0,13762560.0,112930560.0,99120000.0,48000.0,13762560.0,10.922928222498934,10.9375,10.918174617681109,2.1708000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22157721.6,481689600.0,29400.0,68812800.0,550531800.0,15859200000.0,7680000.0,2202009600.0,18068889600.0,18641579121.6,18.6415791216
1080p,1920,1080,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,35ccb6a402c4,8deca67dca2f,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,3976680.0,0.0,35389440,25561200.0,17694720.0,2160.0,7864320.0,29128320.0,21240000.0,24000.0,7864320.0,14.044070586083937,14.0625,14.037653079875708,2.1708000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,39321600.0,127806000.0,3398400000.0,3840000.0,1258291200.0,4660531200.0,4796476771.2,4.7964767712
hires,2048,2048,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,eec709296eaa,8deca67dca2f,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,115415.0,114841.0,0.0,29546240.0,0.0,205520896,234893568.0,205520896.0,12544.0,29360128.0,240918528.0,211456000.0,102400.0,29360128.0,10.922928222498934,10.9375,10.918174617681109,4.390912,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,47269806.080000006,1027604480.0,62720.0,146800640.0,1174467840.0,33832960000.0,16384000.0,4697620480.0,38546964480.0,39768702126.08,39.76870212608
hires,2048,2048,128,128,7,8,256,200.0,ws,run_3c57b67c69d7,eec709296eaa,8deca67dca2f,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,8483584.0,0.0,75497472,54530560.0,37748736.0,4608.0,16777216.0,62140416.0,45312000.0,51200.0,16777216.0,14.044070586083937,14.0625,14.037653079875708,4.390912,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,83886080.0,272652800.0,7249920000.0,8192000.0,2684354560.0,9942466560.0,10232483778.560001,10.23248377856
720p,1280,720,128,128,5,128,256,800.0,ws,run_3ccc1f983921,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,16859.0,16765.0,0.0,842950.0,0.0,20480000,21300450.0,20480000.0,1250.0,819200.0,21699200.0,20720000.0,160000.0,819200.0,0.1491201908738443,0.152587890625,0.1479902918368555,0.00241875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4710400.0,102400000.0,6250.0,4096000.0,106502250.0,3315200000.0,25600000.0,131072000.0,3471872000.0,3583084650.0,3.58308465
720p,1280,720,128,128,5,128,256,800.0,ws,run_3ccc1f983921,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,843950.0,0.0,14745600,9012100.0,7372800.0,900.0,1638400.0,10598400.0,8880000.0,80000.0,1638400.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.00241875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,8192000.0,45060500.0,1420800000.0,12800000.0,262144000.0,1695744000.0,1744195988.0,1.744195988
1080p,1920,1080,128,128,5,128,256,800.0,ws,run_3ccc1f983921,3138f06963c0,37742011eb5e,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,16859.0,16765.0,0.0,2023080.0,0.0,49152000,51121080.0,49152000.0,3000.0,1966080.0,52078080.0,49728000.0,384000.0,1966080.0,0.1491201908738443,0.152587890625,0.1479902918368555,0.0054421875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,15000.0,9830400.0,255605400.0,7956480000.0,61440000.0,314572800.0,8332492800.0,8599403160.0,8.59940316
1080p,1920,1080,128,128,5,128,256,800.0,ws,run_3ccc1f983921,3138f06963c0,37742011eb5e,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,2025480.0,0.0,35389440,21629040.0,17694720.0,2160.0,3932160.0,25436160.0,21312000.0,192000.0,3932160.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.0054421875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,19660800.0,108145200.0,3409920000.0,30720000.0,629145600.0,4069785600.0,4186070371.2,4.1860703712
hires,2048,2048,128,128,5,128,256,800.0,ws,run_3ccc1f983921,d7c3b7614bff,37742011eb5e,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,16859.0,16765.0,0.0,4315904.0,0.0,104857600,109058304.0,104857600.0,6400.0,4194304.0,111099904.0,106086400.0,819200.0,4194304.0,0.1491201908738443,0.152587890625,0.1479902918368555,0.011008,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,32000.0,20971520.0,545291520.0,16973824000.0,131072000.0,671088640.0,17775984640.0,18345393408.0,18.345393408
hires,2048,2048,128,128,5,128,256,800.0,ws,run_3ccc1f983921,d7c3b7614bff,37742011eb5e,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16879.0,16765.0,0.0,4321024.0,0.0,75497472,46141952.0,37748736.0,4608.0,8388608.0,54263808.0,45465600.0,409600.0,8388608.0,0.1073665374291679,0.10986328125,0.1065530101225359,0.011008,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,41943040.0,230709760.0,7274496000.0,65536000.0,1342177280.0,8682209280.0,8930283458.560001,8.930283458560002
1080p,1920,1080,128,128,7,32,256,800.0,os,run_3d54b3851e94,a0fe729e3476,3d54b3851e94,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,24945.0,24863.0,0.0,374175.0,0.0,5268480,5755680.0,5268480.0,164640.0,322560.0,53411520.0,53280000.0,24000.0,107520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,823200.0,1612800.0,28778400.0,8524800000.0,3840000.0,17203200.0,8545843200.0,8575833350.4,8.5758333504
1080p,1920,1080,128,128,7,32,256,800.0,os,run_3d54b3851e94,a0fe729e3476,3d54b3851e94,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,15994.0,15903.0,0.0,239910.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,2003040.0,1776000.0,12000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,302400.0,2150400.0,7291200.0,284160000.0,1920000.0,34406400.0,320486400.0,328222732.8,0.3282227328
720p,1280,720,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,49591.0,44543.0,0.0,2479550.0,0.0,20480000,23577600.0,20480000.0,640000.0,2457600.0,24464200.0,23605000.0,40000.0,819200.0,0.8980086657836248,3.125,0.8979885057471252,0.0387,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4710400.0,102400000.0,3200000.0,12288000.0,117888000.0,3776800000.0,6400000.0,131072000.0,3914272000.0,4036870400.0,4.0368704
720p,1280,720,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39956.0,36351.0,0.0,1997800.0,0.0,14745600,11110400.0,7372800.0,460800.0,3276800.0,9028400.0,7375000.0,15000.0,1638400.0,0.7922753156721961,6.25,0.7922535211267545,0.0387,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,2304000.0,16384000.0,55552000.0,1180000000.0,2400000.0,262144000.0,1444544000.0,1503487488.0,1.503487488
1080p,1920,1080,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,37bdaa5fbd27,8484972ef2dc,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,49591.0,44543.0,0.0,5950920.0,0.0,49152000,56586240.0,49152000.0,1536000.0,5898240.0,58714080.0,56652000.0,96000.0,1966080.0,0.8980086657836248,3.125,0.8979885057471252,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,7680000.0,29491200.0,282931200.0,9064320000.0,15360000.0,314572800.0,9394252800.0,9688488960.0,9.68848896
1080p,1920,1080,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,37bdaa5fbd27,8484972ef2dc,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39956.0,36351.0,0.0,4794720.0,0.0,35389440,26664960.0,17694720.0,1105920.0,7864320.0,21668160.0,17700000.0,36000.0,3932160.0,0.7922753156721961,6.25,0.7922535211267545,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,5529600.0,39321600.0,133324800.0,2832000000.0,5760000.0,629145600.0,3466905600.0,3608369971.2,3.6083699711999997
hires,2048,2048,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,5e6b4862de0d,8484972ef2dc,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,49591.0,44543.0,0.0,12695296.0,0.0,104857600,120717312.0,104857600.0,3276800.0,12582912.0,125256704.0,120857600.0,204800.0,4194304.0,0.8980086657836248,3.125,0.8979885057471252,0.176128,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,16384000.0,62914560.0,603586560.0,19337216000.0,32768000.0,671088640.0,20041072640.0,20668776448.0,20.668776448
hires,2048,2048,128,128,5,32,1024,50.0,os,run_3d8741d9adb9,5e6b4862de0d,8484972ef2dc,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39956.0,36351.0,0.0,10228736.0,0.0,75497472,56885248.0,37748736.0,2359296.0,16777216.0,46225408.0,37760000.0,76800.0,8388608.0,0.7922753156721961,6.25,0.7922535211267545,0.176128,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,11796480.0,83886080.0,284426240.0,6041600000.0,12288000.0,1342177280.0,7396065280.0,7697855938.56,7.69785593856
1080p,1920,1080,128,128,7,64,256,800.0,ws,run_3db32c15df72,ddd08f09df14,3db32c15df72,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,7439.0,7357.0,0.0,111585.0,0.0,5268480,5376735.0,5268480.0,735.0,107520.0,5483520.0,5328000.0,48000.0,107520.0,1.165556612749762,1.1962890625,1.1555046489691416,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,3675.0,537600.0,26883675.0,852480000.0,7680000.0,17203200.0,877363200.0,905458625.4,0.9054586254
1080p,1920,1080,128,128,7,64,256,800.0,ws,run_3db32c15df72,ddd08f09df14,3db32c15df72,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7448.0,7357.0,0.0,111720.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,2003040.0,1776000.0,12000.0,215040.0,0.4281636536631779,0.439453125,0.4244710955396847,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,284160000.0,1920000.0,34406400.0,320486400.0,326846482.8,0.3268464828
720p,1280,720,128,128,5,64,256,800.0,os,run_3dc031c86a3a,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,78693.0,78599.0,39944.0,3934650.0,1997200.0,20480000,23257600.0,20480000.0,320000.0,2457600.0,3091139200.0,3090240000.0,80000.0,819200.0,0.1272280817822109,1.5625,0.2586920529801328,0.009675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4710400.0,102400000.0,1600000.0,12288000.0,116288000.0,494438400000.0,12800000.0,131072000.0,494582272000.0,494703270400.0,494.7032704
720p,1280,720,128,128,5,64,256,800.0,os,run_3dc031c86a3a,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34673.0,34559.0,0.0,1733650.0,0.0,14745600,10880000.0,7372800.0,230400.0,3276800.0,40158400.0,38480000.0,40000.0,1638400.0,0.2083393616713446,3.125,0.2083333333333328,0.009675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,1152000.0,16384000.0,54400000.0,6156800000.0,6400000.0,262144000.0,6425344000.0,6483135488.0,6.483135488
1080p,1920,1080,128,128,5,64,256,800.0,os,run_3dc031c86a3a,129591cc495e,2cd4f38c7b46,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,78693.0,78599.0,39944.0,9443160.0,4793280.0,49152000,55818240.0,49152000.0,768000.0,5898240.0,7418734080.0,7416576000.0,192000.0,1966080.0,0.1272280817822109,1.5625,0.2586920529801328,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,3840000.0,29491200.0,279091200.0,1186652160000.0,30720000.0,314572800.0,1186997452800.0,1187287848960.0,1187.28784896
1080p,1920,1080,128,128,5,64,256,800.0,os,run_3dc031c86a3a,129591cc495e,2cd4f38c7b46,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34673.0,34559.0,0.0,4160760.0,0.0,35389440,26112000.0,17694720.0,552960.0,7864320.0,96380160.0,92352000.0,96000.0,3932160.0,0.2083393616713446,3.125,0.2083333333333328,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,2764800.0,39321600.0,130560000.0,14776320000.0,15360000.0,629145600.0,15420825600.0,15559525171.2,15.5595251712
hires,2048,2048,128,128,5,64,256,800.0,os,run_3dc031c86a3a,5e1a918d3343,2cd4f38c7b46,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,78693.0,78599.0,39944.0,20145408.0,10225664.0,104857600,119078912.0,104857600.0,1638400.0,12582912.0,15826632704.0,15822028800.0,409600.0,4194304.0,0.1272280817822109,1.5625,0.2586920529801328,0.044032,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,8192000.0,62914560.0,595394560.0,2531524608000.0,65536000.0,671088640.0,2532261232640.0,2532880744448.0,2532.880744448
hires,2048,2048,128,128,5,64,256,800.0,os,run_3dc031c86a3a,5e1a918d3343,2cd4f38c7b46,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,34673.0,34559.0,0.0,8876288.0,0.0,75497472,55705600.0,37748736.0,1179648.0,16777216.0,205611008.0,197017600.0,204800.0,8388608.0,0.2083393616713446,3.125,0.2083333333333328,0.044032,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,5898240.0,83886080.0,278528000.0,31522816000.0,32768000.0,1342177280.0,32897761280.0,33193653698.56,33.19365369856
1080p,1920,1080,128,128,3,32,256,800.0,ws,run_3e3efe833e65,d1f431a85491,3e3efe833e65,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,7343.0,7261.0,0.0,110145.0,0.0,967680,1075335.0,967680.0,135.0,107520.0,1895520.0,1776000.0,12000.0,107520.0,0.867649084148189,0.87890625,0.8638420403126285,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,222566.40000000002,4838400.0,675.0,537600.0,5376675.0,284160000.0,1920000.0,17203200.0,303283200.0,308882441.4,0.3088824414
1080p,1920,1080,128,128,3,32,256,800.0,ws,run_3e3efe833e65,d1f431a85491,3e3efe833e65,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7352.0,7261.0,0.0,110280.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,2003040.0,1776000.0,12000.0,215040.0,1.735298168296378,1.7578125,1.727684080625257,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,284160000.0,1920000.0,34406400.0,320486400.0,326846482.8,0.3268464828
720p,1280,720,128,128,11,32,1024,50.0,ws,run_3eb52557fc7e,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,46875.0,41335.0,0.0,468750.0,0.0,12390400,12801210.0,12390400.0,1210.0,409600.0,14611600.0,14163000.0,39000.0,409600.0,2.927301318495222,2.9541015625,2.918475639170285,0.12510000000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,2849792.0,61952000.0,6050.0,2048000.0,64006050.0,2266080000.0,6240000.0,65536000.0,2337856000.0,2404711842.0,2.404711842
720p,1280,720,128,128,11,32,1024,50.0,ws,run_3eb52557fc7e,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,15463.0,10333.0,0.0,154630.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,2568300.0,2360500.0,3000.0,204800.0,1.741991677150876,1.7578125,1.7366136034732274,0.12510000000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,423936.0,4608000.0,900.0,1024000.0,5632900.0,377680000.0,480000.0,32768000.0,410928000.0,416984836.0,0.416984836
1080p,1920,1080,128,128,7,128,1024,50.0,ws,run_3ed552e61393,49179359c84e,3ed552e61393,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,12413.0,7549.0,0.0,186195.0,0.0,5268480,5376735.0,5268480.0,735.0,107520.0,7283520.0,7081500.0,94500.0,107520.0,0.2839780103324943,0.299072265625,0.2792431939559724,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,3675.0,537600.0,26883675.0,1133040000.0,15120000.0,17203200.0,1165363200.0,1193458625.4,1.1934586254000001
1080p,1920,1080,128,128,7,128,1024,50.0,ws,run_3ed552e61393,49179359c84e,3ed552e61393,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12556.0,7549.0,0.0,188340.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,3773790.0,3540750.0,18000.0,215040.0,0.104318452775202,0.10986328125,0.1025791324736225,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,566520000.0,2880000.0,34406400.0,603806400.0,610166482.8,0.6101664828
720p,1280,720,128,128,7,64,4096,800.0,ws,run_3ed6be957029,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,17773.0,16573.0,0.0,888650.0,0.0,40140800,40962450.0,40140800.0,2450.0,819200.0,48179200.0,47200000.0,160000.0,819200.0,1.1826464731792674,1.1962890625,1.178097012682575,0.015075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9232384.0,200704000.0,12250.0,4096000.0,204812250.0,7552000000.0,25600000.0,131072000.0,7708672000.0,7922716634.0,7.922716634
720p,1280,720,128,128,7,64,4096,800.0,ws,run_3ed6be957029,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17793.0,16573.0,0.0,889650.0,0.0,14745600,9012100.0,7372800.0,900.0,1638400.0,48878400.0,47200000.0,40000.0,1638400.0,0.4344415615760574,0.439453125,0.4327703311895173,0.015075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,8192000.0,45060500.0,7552000000.0,6400000.0,262144000.0,7820544000.0,7868995988.0,7.868995988
1080p,1920,1080,128,128,7,64,4096,800.0,ws,run_3ed6be957029,23cde0998ee4,4ccbcf6cfc90,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,17773.0,16573.0,0.0,2132760.0,0.0,96337920,98309880.0,96337920.0,5880.0,1966080.0,115630080.0,113280000.0,384000.0,1966080.0,1.1826464731792674,1.1962890625,1.178097012682575,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22157721.6,481689600.0,29400.0,9830400.0,491549400.0,18124800000.0,61440000.0,314572800.0,18500812800.0,19014519921.6,19.014519921599998
1080p,1920,1080,128,128,7,64,4096,800.0,ws,run_3ed6be957029,23cde0998ee4,4ccbcf6cfc90,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17793.0,16573.0,0.0,2135160.0,0.0,35389440,21629040.0,17694720.0,2160.0,3932160.0,117308160.0,113280000.0,96000.0,3932160.0,0.4344415615760574,0.439453125,0.4327703311895173,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,19660800.0,108145200.0,18124800000.0,15360000.0,629145600.0,18769305600.0,18885590371.2,18.8855903712
hires,2048,2048,128,128,7,64,4096,800.0,ws,run_3ed6be957029,031a990cfa3c,4ccbcf6cfc90,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,17773.0,16573.0,0.0,4549888.0,0.0,205520896,209727744.0,205520896.0,12544.0,4194304.0,246677504.0,241664000.0,819200.0,4194304.0,1.1826464731792674,1.1962890625,1.178097012682575,0.068608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,47269806.080000006,1027604480.0,62720.0,20971520.0,1048638720.0,38666240000.0,131072000.0,671088640.0,39468400640.0,40564309166.08,40.56430916608
hires,2048,2048,128,128,7,64,4096,800.0,ws,run_3ed6be957029,031a990cfa3c,4ccbcf6cfc90,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,17793.0,16573.0,0.0,4555008.0,0.0,75497472,46141952.0,37748736.0,4608.0,8388608.0,250257408.0,241664000.0,204800.0,8388608.0,0.4344415615760574,0.439453125,0.4327703311895173,0.068608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,41943040.0,230709760.0,38666240000.0,32768000.0,1342177280.0,40041185280.0,40289259458.56,40.28925945856
720p,1280,720,128,128,7,64,256,800.0,ws,run_3f3fa430fafd,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16667.0,16573.0,0.0,833350.0,0.0,40140800,40962450.0,40140800.0,2450.0,819200.0,42419200.0,41440000.0,160000.0,819200.0,1.1826464731792674,1.1962890625,1.178097012682575,0.015075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9232384.0,200704000.0,12250.0,4096000.0,204812250.0,6630400000.0,25600000.0,131072000.0,6787072000.0,7001116634.0,7.001116634
720p,1280,720,128,128,7,64,256,800.0,ws,run_3f3fa430fafd,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16687.0,16573.0,0.0,834350.0,0.0,14745600,9012100.0,7372800.0,900.0,1638400.0,10558400.0,8880000.0,40000.0,1638400.0,0.4344415615760574,0.439453125,0.4327703311895173,0.015075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,8192000.0,45060500.0,1420800000.0,6400000.0,262144000.0,1689344000.0,1737795988.0,1.737795988
1080p,1920,1080,128,128,7,64,256,800.0,ws,run_3f3fa430fafd,ea676b4d960d,05f25e2328a4,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,16667.0,16573.0,0.0,2000040.0,0.0,96337920,98309880.0,96337920.0,5880.0,1966080.0,101806080.0,99456000.0,384000.0,1966080.0,1.1826464731792674,1.1962890625,1.178097012682575,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22157721.6,481689600.0,29400.0,9830400.0,491549400.0,15912960000.0,61440000.0,314572800.0,16288972800.0,16802679921.6,16.8026799216
1080p,1920,1080,128,128,7,64,256,800.0,ws,run_3f3fa430fafd,ea676b4d960d,05f25e2328a4,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,16687.0,16573.0,0.0,2002440.0,0.0,35389440,21629040.0,17694720.0,2160.0,3932160.0,25340160.0,21312000.0,96000.0,3932160.0,0.4344415615760574,0.439453125,0.4327703311895173,0.033918750000000004,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,19660800.0,108145200.0,3409920000.0,15360000.0,629145600.0,4054425600.0,4170710371.2,4.1707103712
