resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.filter_dram,read,200000.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,gaussian_k11,gaussian,accelerator.ofmap_dram,write,819200.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.mac_array,mac,14745600.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,7372800.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.filter_sram,read,460800.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,3276800.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,7380000.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.filter_dram,read,20000.0
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,1638400.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.mac_array,mac,237895680.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.ifmap_sram,read,237895680.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.filter_sram,read,7434240.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.ofmap_sram,write,5898240.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.ifmap_dram,read,339768000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.filter_dram,read,480000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,gaussian_k11,gaussian,accelerator.ofmap_dram,write,1966080.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.mac_array,mac,35389440.0
