resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,8,4096,200.0,os,12140610.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,37362000.0,54000.0,6220800.0,43636800.0,555816000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.140609999999999,64,776999040.0,0.0,0.555816,6.7479452877599995,0.01667448
1080p,1920,1080,128,128,3,8,4096,200.0,ws,8699880.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,78867600.0,66372000.0,54000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,66372000.0,54000.0,12441600.0,78867600.0,520573560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.69988,64,556792320.0,0.0,0.52057356,4.5289275031728,0.0156172068
1080p,1920,1080,128,128,3,8,4096,800.0,is,24426660.0,0.0,55987200,56764800.0,37324800.0,6998400.0,12441600.0,50121600.0,37464000.0,216000.0,12441600.0,55987200.0,298598400.0,55987200.0,87091200.0,441676800.0,37464000.0,216000.0,12441600.0,50121600.0,547785600.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,24.42666,64,1563306240.0,0.0,0.5477856,13.380572604095999,0.016433568
1080p,1920,1080,128,128,3,8,4096,800.0,os,11977335.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43900800.0,37464000.0,216000.0,6220800.0,55987200.0,298598400.0,55987200.0,101606400.0,456192000.0,37464000.0,216000.0,6220800.0,43900800.0,556080000.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,11.977335,64,766549440.0,0.0,0.55608,6.6603564468,0.0166824
1080p,1920,1080,128,128,3,8,4096,800.0,ws,8404350.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,79089600.0,66432000.0,216000.0,12441600.0,55987200.0,298598400.0,29160.0,87091200.0,385718760.0,66432000.0,216000.0,12441600.0,79089600.0,520795560.0,0.8748,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,8.404349999999999,64,537878400.0,0.0,0.52079556,4.376948164686,0.0156238668
1080p,1920,1080,128,128,3,16,256,50.0,is,12754065.0,0.0,55987200,47044800.0,37324800.0,3499200.0,6220800.0,193536300.0,187302000.0,13500.0,6220800.0,55987200.0,298598400.0,27993600.0,43545600.0,370137600.0,187302000.0,13500.0,6220800.0,193536300.0,619661100.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.754065,256,3265040640.0,0.0,0.6196611,7.9031979473715,0.018589833
1080p,1920,1080,128,128,3,16,256,50.0,os,10550865.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,193563300.0,187302000.0,40500.0,6220800.0,55987200.0,298598400.0,27993600.0,101606400.0,428198400.0,187302000.0,40500.0,6220800.0,193563300.0,677748900.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,10.550865,256,2701021440.0,0.0,0.6777489,7.1508371477985,0.020332467
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,45942000.0,40500.0,6220800.0,52203300.0,450363660.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.601685000000001,256,1178031360.0,0.0,0.45036366,2.0724316987671,0.0135109098
1080p,1920,1080,128,128,3,16,256,200.0,is,12422250.0,0.0,55987200,47044800.0,37324800.0,3499200.0,6220800.0,193894800.0,187620000.0,54000.0,6220800.0,55987200.0,298598400.0,27993600.0,43545600.0,370137600.0,187620000.0,54000.0,6220800.0,193894800.0,620019600.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.42225,256,3180096000.0,0.0,0.6200196,7.7020384761,0.018600588
1080p,1920,1080,128,128,3,16,256,200.0,os,10219050.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,193894800.0,187620000.0,54000.0,6220800.0,55987200.0,298598400.0,27993600.0,101606400.0,428198400.0,187620000.0,54000.0,6220800.0,193894800.0,678080400.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,10.219050000000001,256,2616076800.0,0.0,0.6780804,6.929337511620001,0.020342412
