resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.PE[0..16383].mac,mac_random,49152000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.ifmap_glb,read,49152000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.weights_glb,read,3000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.psum_glb,update,1966080.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.ifmap_dram,read,49476000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.weights_dram,read,384000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,gaussian_k5,gaussian,systolic_array.psum_dram,write,1966080.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.PE[0..16383].mac,mac_random,35389440.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.ifmap_glb,read,17694720.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.weights_glb,read,2160.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.psum_glb,update,3932160.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.ifmap_dram,read,21204000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.weights_dram,read,144000.0
1080p,1920,1080,128,128,5,128,256,100.0,ws,run_00b623a54bb9,8856379dcf80,00b623a54bb9,full,sobel_3x3,sobel,systolic_array.psum_dram,write,3932160.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.PE[0..1023].mac,mac_random,13009920.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_glb,read,13009920.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_glb,read,406560.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_glb,update,322560.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_dram,read,13011000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_dram,read,60000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_dram,write,107520.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..1023].mac,mac_random,1935360.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,60480.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,430080.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,969000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,6000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,215040.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.PE[0..255].mac,mac_random,12390400.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_glb,read,12390400.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_glb,read,1210.0
