run_name,status,seconds,resolution,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,tile_class,stdout_tail,stderr_tail,max_rss_gb
run_5ded5fd7e601,rss_limit,7.129,720p,11,64,256,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.288
run_6208987f5697,completed,100.861,720p,11,8,1024,200.0,is,full,completed run_6208987f5697,,7.601
run_629f79be1206,completed,4.052,1080p,11,128,4096,200.0,is,bottom_edge,completed run_629f79be1206,,0.963
run_62b1ee9b0752,completed,3.036,1080p,7,128,1024,800.0,is,bottom_edge,completed run_62b1ee9b0752,,0.905
run_63b9f4f9264f,completed,4.049,1080p,7,32,1024,800.0,is,bottom_edge,completed run_63b9f4f9264f,,0.766
run_67d4a8cb9185,completed,3.046,1080p,7,64,256,200.0,is,bottom_edge,completed run_67d4a8cb9185,,0.886
run_6ad2504723f2,completed,3.043,1080p,7,128,1024,200.0,is,bottom_edge,completed run_6ad2504723f2,,0.905
run_6c475b49286b,rss_limit,5.115,1080p,11,64,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.479
run_6e7039b2a937,rss_limit,13.173,1080p,11,16,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.037
run_6fdc60fb0f0f,completed,26.236,720p,11,32,4096,200.0,is,full,completed run_6fdc60fb0f0f,,3.371
run_74ffaaecb0e0,completed,3.045,1080p,7,128,4096,50.0,is,bottom_edge,completed run_74ffaaecb0e0,,0.909
run_7681d477ba8d,completed,3.044,1080p,7,64,4096,50.0,is,bottom_edge,completed run_7681d477ba8d,,0.699
run_7773800010d5,completed,5.054,1080p,11,64,1024,200.0,is,bottom_edge,completed run_7773800010d5,,2.048
run_7bca79816eaa,completed,3.041,1080p,7,64,4096,800.0,is,bottom_edge,completed run_7bca79816eaa,,0.696
run_7d3928b9f88d,completed,3.034,1080p,7,64,256,800.0,is,bottom_edge,completed run_7d3928b9f88d,,0.886
run_7ff2a113d2db,completed,3.034,1080p,7,128,256,200.0,is,bottom_edge,completed run_7ff2a113d2db,,0.938
run_807b64589559,rss_limit,7.122,720p,11,128,1024,800.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.215
