resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,16,256,200.0,os,10219050.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,193894800.0,187620000.0,54000.0,6220800.0,12877056.0,245861256.96,23049492.84,66891121.919999994,335801871.71999997,30019200000.0,8640000.0,995328000.0,31023168000.0,31371846927.719997,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,10.219050000000001,0.0,31.371846927719997,320.59047234671704,0.9411554078316
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.679999996,274552890.52837497,7363200000.0,8640000.0,995328000.0,8367168000.0,8654597946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.26987,0.0,8.654597946528373,36.954008133943105,0.2596379383958512
1080p,1920,1080,128,128,3,16,256,800.0,os,10136085.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,194692800.0,188256000.0,216000.0,6220800.0,12877056.0,245861256.96,23049492.840000004,66891121.919999994,335801871.72,30120960000.0,34560000.0,995328000.0,31150848000.0,31499526927.72,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,10.136085,0.0,31.49952692772,319.2818823991588,0.9449858078316001
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7388160000.0,34560000.0,995328000.0,8418048000.0,8705477946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.186905,0.0,8.705477946528374,36.44900914170938,0.2611643383958512
1080p,1920,1080,128,128,3,16,1024,50.0,os,10979535.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43597800.0,37336500.0,40500.0,6220800.0,12877056.0,385319773.44000006,36123728.760000005,128448270.72000001,549891772.9200001,5973840000.0,6480000.0,995328000.0,6975648000.0,7538416828.92,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.979535,0.0,7.53841682892,82.76831141771615,0.2261525048676
1080p,1920,1080,128,128,3,16,1024,50.0,ws,5485485.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,66354300.0,60093000.0,40500.0,6220800.0,12877056.0,385319773.44000006,37628.884125,55049258.88000001,440406661.20412505,9614880000.0,6480000.0,995328000.0,10616688000.0,11069971717.204124,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,5.485485,0.0,11.069971717204124,60.72416380514746,0.33209915151612374
1080p,1920,1080,128,128,3,16,1024,200.0,os,10326210.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,12877056.0,385319773.44000006,36123728.76,128448270.72,549891772.9200001,5977920000.0,8640000.0,995328000.0,6981888000.0,7544656828.92,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.326210000000001,0.0,7.54465682892,77.907710793362,0.2263397048676
1080p,1920,1080,128,128,3,16,1024,200.0,ws,4490880.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,66406800.0,60132000.0,54000.0,6220800.0,12877056.0,385319773.44000006,37628.884125,55049258.88000001,440406661.20412505,9621120000.0,8640000.0,995328000.0,10625088000.0,11078371717.204124,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,4.49088,0.0,11.078371717204124,49.75163797735765,0.3323511515161237
1080p,1920,1080,128,128,3,16,1024,800.0,os,10162935.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43900800.0,37464000.0,216000.0,6220800.0,12877056.0,385319773.44000006,36123728.760000005,128448270.72000001,549891772.9200001,5994240000.0,34560000.0,995328000.0,7024128000.0,7586896828.92,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.162935,0.0,7.5868968289200005,77.10513932402007,0.22760690486760002
1080p,1920,1080,128,128,3,16,1024,800.0,ws,4242285.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,66724800.0,60288000.0,216000.0,6220800.0,12877056.0,385319773.44000006,37628.884125,55049258.88000001,440406661.20412505,9646080000.0,34560000.0,995328000.0,10675968000.0,11129251717.204124,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,4.242285,0.0,11.129251717204124,47.2134576211193,0.3338775515161237
