resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,16,256,800.0,ws,sobel,2094720.0,4.52555508819225,accelergy,4186905.0,8.705477946528376,50.030272958187496,51.98514218276756
1080p,1920,1080,128,128,3,16,1024,50.0,os,gaussian,5469015.0,3.58597874052,accelergy,10979535.0,7.53841682892,49.8109892632065,47.569387868855074
1080p,1920,1080,128,128,3,16,1024,50.0,os,sobel,5510520.0,3.9524380884,accelergy,10979535.0,7.53841682892,50.18901073679349,52.430612131144926
1080p,1920,1080,128,128,3,16,1024,50.0,ws,gaussian,2721990.0,5.357770534641375,accelergy,5485485.0,11.069971717204124,49.62168340629862,48.399134808219316
1080p,1920,1080,128,128,3,16,1024,50.0,ws,sobel,2763495.0,5.712201182562749,accelergy,5485485.0,11.069971717204124,50.37831659370138,51.600865191780684
1080p,1920,1080,128,128,3,16,1024,200.0,os,gaussian,5157915.0,3.58909874052,accelergy,10326210.0,7.544656828919999,49.949739546261405,47.571398168334866
1080p,1920,1080,128,128,3,16,1024,200.0,os,sobel,5168295.0,3.9555580883999997,accelergy,10326210.0,7.544656828919999,50.050260453738595,52.42860183166515
1080p,1920,1080,128,128,3,16,1024,200.0,ws,gaussian,2240250.0,5.361970534641375,accelergy,4490880.0,11.078371717204124,49.88443244976486,48.40034863891161
1080p,1920,1080,128,128,3,16,1024,200.0,ws,sobel,2250630.0,5.71640118256275,accelergy,4490880.0,11.078371717204124,50.11556755023514,51.59965136108839
1080p,1920,1080,128,128,3,16,1024,800.0,os,gaussian,5080200.0,3.61021874052,accelergy,10162935.0,7.5868968289200005,49.987528209124626,47.584919393637215
1080p,1920,1080,128,128,3,16,1024,800.0,os,sobel,5082735.0,3.9766780884,accelergy,10162935.0,7.5868968289200005,50.01247179087537,52.415080606362785
1080p,1920,1080,128,128,3,16,1024,800.0,ws,gaussian,2119875.0,5.387410534641375,accelergy,4242285.0,11.129251717204124,49.97012223365474,48.40766182252182
1080p,1920,1080,128,128,3,16,1024,800.0,ws,sobel,2122410.0,5.74184118256275,accelergy,4242285.0,11.129251717204124,50.02987776634525,51.59233817747819
1080p,1920,1080,128,128,3,16,4096,50.0,os,gaussian,5469015.0,3.8511349848,accelergy,10979535.0,8.09853242832,49.8109892632065,47.55349217758085
1080p,1920,1080,128,128,3,16,4096,50.0,os,sobel,5510520.0,4.247397443520001,accelergy,10979535.0,8.09853242832,50.18901073679349,52.44650782241915
1080p,1920,1080,128,128,3,16,4096,50.0,ws,gaussian,2784630.0,6.0770069844884995,accelergy,5610765.0,12.5257074533055,49.630130650633205,48.51627748087629
1080p,1920,1080,128,128,3,16,4096,50.0,ws,sobel,2826135.0,6.448700468817,accelergy,5610765.0,12.5257074533055,50.3698693493668,51.483722519123695
1080p,1920,1080,128,128,3,16,4096,200.0,os,gaussian,5157915.0,3.8542549848000003,accelergy,10326210.0,8.10477242832,49.949739546261405,47.555375784918006
1080p,1920,1080,128,128,3,16,4096,200.0,os,sobel,5168295.0,4.25051744352,accelergy,10326210.0,8.10477242832,50.050260453738595,52.444624215081994
1080p,1920,1080,128,128,3,16,4096,200.0,ws,gaussian,2255850.0,6.079286984488499,accelergy,4522080.0,12.530267453305498,49.885229805753106,48.51681743540739
1080p,1920,1080,128,128,3,16,4096,200.0,ws,sobel,2266230.0,6.450980468816999,accelergy,4522080.0,12.530267453305498,50.114770194246894,51.48318256459261
1080p,1920,1080,128,128,3,16,4096,800.0,os,gaussian,5080200.0,3.8753749848,accelergy,10162935.0,8.14701242832,49.987528209124626,47.568050483496606
1080p,1920,1080,128,128,3,16,4096,800.0,os,sobel,5082735.0,4.27163744352,accelergy,10162935.0,8.14701242832,50.01247179087537,52.43194951650341
1080p,1920,1080,128,128,3,16,4096,800.0,ws,gaussian,2123715.0,6.0970469844885,accelergy,4249965.0,12.5657874533055,49.970176224980676,48.52100998162784
1080p,1920,1080,128,128,3,16,4096,800.0,ws,sobel,2126250.0,6.468740468817,accelergy,4249965.0,12.5657874533055,50.029823775019324,51.47899001837216
1080p,1920,1080,128,128,3,32,256,50.0,os,gaussian,4801080.0,15.482148186299998,accelergy,9643665.0,31.3137621813,49.78480691728715,49.44199325734693
1080p,1920,1080,128,128,3,32,256,50.0,os,sobel,4842585.0,15.831613995000001,accelergy,9643665.0,31.3137621813,50.21519308271285,50.55800674265307
1080p,1920,1080,128,128,3,32,256,50.0,ws,gaussian,2286570.0,4.1504028583361245,accelergy,4614645.0,8.646437946528374,49.550290434042054,48.001302779285545
1080p,1920,1080,128,128,3,32,256,50.0,ws,sobel,2328075.0,4.49603508819225,accelergy,4614645.0,8.646437946528374,50.449709565957946,51.998697220714455
1080p,1920,1080,128,128,3,32,256,200.0,os,gaussian,4650735.0,15.5097481863,accelergy,9311850.0,31.3689621813,49.94426456611737,49.4429751824746
1080p,1920,1080,128,128,3,32,256,200.0,os,sobel,4661115.0,15.859213995,accelergy,9311850.0,31.3689621813,50.05573543388263,50.55702481752541
