resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
720p,1280,720,128,128,7,64,256,50.0,ws,2062470.0,0.0,61747200,56221620.0,53452800.0,4020.0,2764800.0,59533800.0,56544000.0,225000.0,2764800.0,14201856.0,352097602.56000006,26480.041500000003,12741166.08,364865248.6815,9047040000.0,36000000.0,442368000.0,9525408000.0,9904475104.6815,0.018432,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,2.06247,0.0,9.904475104681499,20.427682769152447,0.297134253140445,200,True,0.0495223755234075
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,29463552.0,789184281.6000001,54936.20550000001,12741166.08,801980383.8855002,19696160000.0,139680000.0,442368000.0,20278208000.0,21109651935.8855,0.018432,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,3.39165,38.51045951085755,21.109651935885502,71.59655098834605,0.6332895580765651,33,True,0.6396864222995606
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,29463552.0,789184281.6000001,54936.20550000001,12741166.08,801980383.8855002,19696160000.0,139680000.0,442368000.0,20278208000.0,21109651935.8855,0.018432,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,3.39165,38.51045951085755,21.109651935885502,71.59655098834605,0.6332895580765651,100,True,0.211096519358855
720p,1280,720,128,128,11,128,256,50.0,ws,3391650.0,1306140.0,128102400,122581140.0,119808000.0,8340.0,2764800.0,126738800.0,123101000.0,873000.0,2764800.0,29463552.0,789184281.6000001,54936.20550000001,12741166.08,801980383.8855002,19696160000.0,139680000.0,442368000.0,20278208000.0,21109651935.8855,0.018432,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,3.39165,38.51045951085755,21.109651935885502,71.59655098834605,0.6332895580765651,200,True,0.1055482596794275
hires,2048,2048,128,128,3,32,1024,50.0,os,20373504.0,0.0,113246208,108396544.0,75497472.0,3538944.0,29360128.0,88256512.0,75520000.0,153600.0,12582912.0,26046627.840000004,779392489.8816,36534022.9632,259814378.7008,1075740891.5456,12083200000.0,24576000.0,2013265920.0,14121041920.0,15222829439.385601,0.110592,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,20.373504,0.0,15.2228294393856,310.1423764746403,0.4566848831815681,33,True,0.4612978617995637
hires,2048,2048,128,128,3,32,1024,50.0,os,20373504.0,0.0,113246208,108396544.0,75497472.0,3538944.0,29360128.0,88256512.0,75520000.0,153600.0,12582912.0,26046627.840000004,779392489.8816,36534022.9632,259814378.7008,1075740891.5456,12083200000.0,24576000.0,2013265920.0,14121041920.0,15222829439.385601,0.110592,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,20.373504,0.0,15.2228294393856,310.1423764746403,0.4566848831815681,100,True,0.15222829439385602
hires,2048,2048,128,128,3,32,1024,50.0,os,20373504.0,0.0,113246208,108396544.0,75497472.0,3538944.0,29360128.0,88256512.0,75520000.0,153600.0,12582912.0,26046627.840000004,779392489.8816,36534022.9632,259814378.7008,1075740891.5456,12083200000.0,24576000.0,2013265920.0,14121041920.0,15222829439.385601,0.110592,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,20.373504,0.0,15.2228294393856,310.1423764746403,0.4566848831815681,200,True,0.07611414719692801
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,41481666.56,939358630.7072,72510.52160000001,57986462.5152,997417603.7440001,24125440000.0,45056000.0,2013265920.0,26183761920.0,27222661190.304,0.176128,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.290752,0.0,27.222661190304002,252.91899389913928,0.81667983570912,33,True,0.8249291269789092
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,41481666.56,939358630.7072,72510.52160000001,57986462.5152,997417603.7440001,24125440000.0,45056000.0,2013265920.0,26183761920.0,27222661190.304,0.176128,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.290752,0.0,27.222661190304002,252.91899389913928,0.81667983570912,100,True,0.27222661190304
hires,2048,2048,128,128,5,32,256,50.0,ws,9290752.0,0.0,180355072,155200256.0,142606336.0,11008.0,12582912.0,163648512.0,150784000.0,281600.0,12582912.0,41481666.56,939358630.7072,72510.52160000001,57986462.5152,997417603.7440001,24125440000.0,45056000.0,2013265920.0,26183761920.0,27222661190.304,0.176128,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.290752,0.0,27.222661190304002,252.91899389913928,0.81667983570912,200,True,0.13611330595152
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,64634224.64000001,1602435311.2064002,112981.5104,57986462.5152,1660534755.2319999,41013248000.0,153600000.0,2013265920.0,43180113920.0,44905282899.871994,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.339903999999999,0.0,44.90528289987199,419.41103137764594,1.34715848699616,33,True,1.3607661484809694
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,64634224.64000001,1602435311.2064002,112981.5104,57986462.5152,1660534755.2319999,41013248000.0,153600000.0,2013265920.0,43180113920.0,44905282899.871994,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.339903999999999,0.0,44.90528289987199,419.41103137764594,1.34715848699616,100,True,0.44905282899871996
hires,2048,2048,128,128,7,64,256,50.0,ws,9339904.0,0.0,281018368,255869696.0,243269632.0,17152.0,12582912.0,269875712.0,256332800.0,960000.0,12582912.0,64634224.64000001,1602435311.2064002,112981.5104,57986462.5152,1660534755.2319999,41013248000.0,153600000.0,2013265920.0,43180113920.0,44905282899.871994,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.339903999999999,0.0,44.90528289987199,419.41103137764594,1.34715848699616,200,True,0.22452641449935998
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,134091898.88000001,3591665352.7040005,234394.47680000003,57986462.5152,3649886209.696,89264128000.0,595968000.0,2013265920.0,91873361920.0,95657340028.576,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,15.366655999999999,38.579948688901474,95.657340028576,1469.9334380941575,2.86972020085728,33,True,2.8987072735932125
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,134091898.88000001,3591665352.7040005,234394.47680000003,57986462.5152,3649886209.696,89264128000.0,595968000.0,2013265920.0,91873361920.0,95657340028.576,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,15.366655999999999,38.579948688901474,95.657340028576,1469.9334380941575,2.86972020085728,100,True,0.95657340028576
hires,2048,2048,128,128,11,128,256,50.0,ws,15366656.0,5928448.0,583008256,557878016.0,545259520.0,35584.0,12582912.0,574208512.0,557900800.0,3724800.0,12582912.0,134091898.88000001,3591665352.7040005,234394.47680000003,57986462.5152,3649886209.696,89264128000.0,595968000.0,2013265920.0,91873361920.0,95657340028.576,0.08388608,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,15.366655999999999,38.579948688901474,95.657340028576,1469.9334380941575,2.86972020085728,200,True,0.47828670014288
