resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_read_pj_per_access,sram_write_pj_per_access,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,9290280.0,0.0,49152000,57019320.0,49152000.0,3000.0,7864320.0,70804320.0,62916000.0,24000.0,7864320.0,9.752678176858725,9.765625,9.748370194358133,1.3932,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,11304960.0,1036414156.8000001,63257.700000000004,135014449.15199998,1171491863.6520002,10066560000.0,3840000.0,1258291200.0,11328691200.0,12511488023.652,12.511488023652001
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,4723680.0,0.0,35389440,25561200.0,17694720.0,2160.0,7864320.0,39334320.0,31458000.0,12000.0,7864320.0,14.044070586083937,14.0625,14.037653079875708,1.3932,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,8139571.2,373109096.448,45545.544,135014449.15199998,508169091.14400005,5033280000.0,1920000.0,1258291200.0,6293491200.0,6809799862.344,6.809799862344
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,19819264.0,0.0,104857600,121641216.0,104857600.0,6400.0,16777216.0,151049216.0,134220800.0,51200.0,16777216.0,9.752678176858725,9.765625,9.748370194358133,2.818048,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,24117248.0,2211016867.84,134949.76,288030824.8576,2499182642.4576006,21475328000.0,8192000.0,2684354560.0,24167874560.0,26691174450.4576,26.6911744504576
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,10077184.0,0.0,75497472,54530560.0,37748736.0,4608.0,16777216.0,83913216.0,67110400.0,25600.0,16777216.0,14.044070586083937,14.0625,14.037653079875708,2.818048,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,17364418.560000002,795966072.4224001,97163.82720000001,288030824.8576,1084094061.1072001,10737664000.0,4096000.0,2684354560.0,13426114560.0,14527573039.6672,14.5275730396672
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,45363.0,40991.0,0.0,680445.0,0.0,13009920,13739040.0,13009920.0,406560.0,322560.0,13178520.0,13011000.0,60000.0,107520.0,2.0663072381742333,3.125,2.0662568306010884,0.281475,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,2992281.6,274325872.128,8572683.504,5537702.016,288436257.648,2081760000.0,9600000.0,17203200.0,2108563200.0,2399991739.248,2.399991739248
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.281475,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,445132.80000000005,20404403.712,1275275.232,7383602.687999999,29063281.632,155040000.0,960000.0,34406400.0,190406400.0,219914814.432,0.219914814432
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,26655.0,24863.0,0.0,399825.0,0.0,5268480,5755680.0,5268480.0,164640.0,322560.0,5402520.0,5271000.0,24000.0,107520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,1211750.4000000001,111090642.43200001,3471582.5760000004,5537702.016,120099927.02400002,843360000.0,3840000.0,17203200.0,864403200.0,985714877.424,0.985714877424
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,445132.80000000005,20404403.712,1275275.232,7383602.687999999,29063281.632,155040000.0,960000.0,34406400.0,190406400.0,219914814.432,0.219914814432
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,24135.0,16967.0,0.0,362025.0,0.0,5268480,5632200.0,5268480.0,41160.0,322560.0,5470770.0,5268750.0,94500.0,107520.0,0.1263482053397772,0.78125,0.1263407590759075,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,1211750.4000000001,111090642.43200001,867895.6440000001,5537702.016,117496240.09200001,843000000.0,15120000.0,17203200.0,875323200.0,994031190.492,0.994031190492
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16304.0,14727.0,0.0,244560.0,0.0,1935360,1412880.0,967680.0,15120.0,430080.0,1201290.0,968250.0,18000.0,215040.0,0.0534732124668975,1.5625,0.0534695817490493,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,445132.80000000005,20404403.712,318818.808,7383602.687999999,28106825.207999997,154920000.0,2880000.0,34406400.0,192206400.0,220758358.00800002,0.220758358008
