resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7050825000.0,14850000.0,622080000.0,7687755000.0,8144607960.0,0.087075,accelergy,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,33,True,0.24680630181818183
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7636800000.0,21600000.0,622080000.0,8280480000.0,8681957985.0,0.087075,accelergy,4.199865,0.0,8.681957985,36.46305147267203,0.26045873955,100,True,0.08681957985
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7611000000.0,16200000.0,622080000.0,8249280000.0,8650757985.0,0.087075,accelergy,4.28283,0.0,8.650757985,37.04972582089755,0.25952273955,100,True,0.08650757985
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7598100000.0,14850000.0,622080000.0,8235030000.0,8636507985.0,0.087075,accelergy,4.614644999999999,0.0,8.636507985,39.854418390440316,0.25909523955,100,True,0.08636507985
1080p,1920,1080,128,128,5,128,4096,800.0,os,8875920.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77440800.0,70572000.0,648000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7057200000.0,64800000.0,622080000.0,7744080000.0,8190483960.0,0.0054421875,accelergy,8.87592,0.0,8.19048396,72.6980803902432,0.2457145188,100,True,0.0819048396
1080p,1920,1080,128,128,5,128,4096,200.0,os,9163605.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77335800.0,70521000.0,594000.0,6220800.0,17832960.0,352512000.0,3483000.0,72576000.0,428571000.0,7052100000.0,59400000.0,622080000.0,7733580000.0,8179983960.0,0.010368,accelergy,9.163605,0.0,8.17998396,74.9581419157758,0.2453995188,100,True,0.0817998396
1080p,1920,1080,128,128,5,64,4096,800.0,os,9361920.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77116800.0,70572000.0,324000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7057200000.0,32400000.0,622080000.0,7711680000.0,8161566960.0,0.02176875,accelergy,9.36192,0.0,8.16156696,76.40793695416319,0.2448470088,100,True,0.0816156696
1080p,1920,1080,128,128,5,64,4096,200.0,os,9649605.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77038800.0,70521000.0,297000.0,6220800.0,17832960.0,352512000.0,6966000.0,72576000.0,432054000.0,7052100000.0,29700000.0,622080000.0,7703880000.0,8153766960.0,0.02176875,accelergy,9.649605000000001,0.0,8.15376696,78.68063042605081,0.2446130088,100,True,0.0815376696
1080p,1920,1080,128,128,5,32,4096,200.0,os,10621605.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76903800.0,70521000.0,162000.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7052100000.0,16200000.0,622080000.0,7690380000.0,8147232960.0,0.087075,accelergy,10.621604999999999,0.0,8.14723296,86.53669034410079,0.2444169888,100,True,0.0814723296
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,17832960.0,352512000.0,13932000.0,72576000.0,439020000.0,7050825000.0,14850000.0,622080000.0,7687755000.0,8144607960.0,0.087075,accelergy,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,100,True,0.0814460796
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,17832960.0,352512000.0,29025.0,31104000.0,383645025.0,7636800000.0,21600000.0,622080000.0,8280480000.0,8681957985.0,0.087075,accelergy,4.199865,0.0,8.681957985,36.46305147267203,0.26045873955,200,True,0.043409789925
